2026-04-01 12:32:49 | workinprogress | Conf:0.8 | Action:reduce_speed | Speed:20
2026-04-01 12:32:50 | workinprogress | Conf:0.83 | Action:reduce_speed | Speed:20
2026-04-01 12:32:51 | workinprogress | Conf:0.83 | Action:reduce_speed | Speed:20
2026-04-01 12:32:52 | workinprogress | Conf:0.82 | Action:reduce_speed | Speed:20
2026-04-01 12:32:53 | workinprogress | Conf:0.75 | Action:reduce_speed | Speed:20
2026-04-01 12:32:54 | workinprogress | Conf:0.82 | Action:reduce_speed | Speed:20
2026-04-01 12:32:56 | workinprogress | Conf:0.74 | Action:reduce_speed | Speed:20
2026-04-01 12:33:03 | workinprogress | Conf:0.76 | Action:reduce_speed | Speed:20
2026-04-01 12:33:04 | workinprogress | Conf:0.77 | Action:reduce_speed | Speed:20
2026-04-01 12:33:05 | workinprogress | Conf:0.74 | Action:reduce_speed | Speed:20
2026-04-01 12:33:06 | workinprogress | Conf:0.8 | Action:reduce_speed | Speed:20
2026-04-01 12:33:18 | workinprogress | Conf:0.76 | Action:reduce_speed | Speed:20
2026-04-01 12:33:19 | slowdown | Conf:0.83 | Action:notify_only | Speed:None
2026-04-01 12:33:21 | slowdown | Conf:0.82 | Action:notify_only | Speed:None
2026-04-01 12:33:26 | slowdown | Conf:0.77 | Action:notify_only | Speed:None
2026-04-01 12:33:27 | crossing | Conf:0.75 | Action:notify_only | Speed:None
2026-04-01 12:33:29 | crossing | Conf:0.77 | Action:notify_only | Speed:None
2026-04-01 12:33:34 | crossing | Conf:0.78 | Action:notify_only | Speed:None
2026-04-01 12:33:35 | crossing | Conf:0.73 | Action:notify_only | Speed:None
2026-04-01 12:33:36 | crossing | Conf:0.79 | Action:notify_only | Speed:None
2026-04-01 12:33:38 | crossing | Conf:0.78 | Action:notify_only | Speed:None
2026-04-01 12:33:39 | crossing | Conf:0.79 | Action:notify_only | Speed:None
2026-04-01 12:33:40 | crossing | Conf:0.8 | Action:notify_only | Speed:None
2026-04-01 12:33:44 | crossing | Conf:0.8 | Action:notify_only | Speed:None
2026-04-01 12:33:46 | workinprogress | Conf:0.73 | Action:reduce_speed | Speed:20
2026-04-01 12:33:47 | workinprogress | Conf:0.76 | Action:reduce_speed | Speed:20
2026-04-01 12:33:48 | slowdown | Conf:0.86 | Action:notify_only | Speed:None
2026-04-01 12:33:49 | slowdown | Conf:0.75 | Action:notify_only | Speed:None
2026-04-01 12:33:50 | workinprogress | Conf:0.78 | Action:reduce_speed | Speed:20
2026-04-01 12:33:51 | workinprogress | Conf:0.77 | Action:reduce_speed | Speed:20
2026-04-01 12:33:52 | workinprogress | Conf:0.72 | Action:reduce_speed | Speed:20
2026-04-01 12:33:54 | workinprogress | Conf:0.8 | Action:reduce_speed | Speed:20
2026-04-01 12:33:55 | workinprogress | Conf:0.82 | Action:reduce_speed | Speed:20
2026-04-01 12:33:56 | workinprogress | Conf:0.74 | Action:reduce_speed | Speed:20
2026-04-01 12:33:57 | workinprogress | Conf:0.79 | Action:reduce_speed | Speed:20
2026-04-01 12:33:58 | workinprogress | Conf:0.78 | Action:reduce_speed | Speed:20
2026-04-01 12:33:59 | workinprogress | Conf:0.73 | Action:reduce_speed | Speed:20
2026-04-01 12:34:00 | workinprogress | Conf:0.77 | Action:reduce_speed | Speed:20
2026-04-01 12:34:01 | workinprogress | Conf:0.74 | Action:reduce_speed | Speed:20
2026-04-01 12:34:02 | workinprogress | Conf:0.81 | Action:reduce_speed | Speed:20
2026-04-01 12:34:03 | workinprogress | Conf:0.75 | Action:reduce_speed | Speed:20
2026-04-01 12:34:04 | workinprogress | Conf:0.81 | Action:reduce_speed | Speed:20
2026-04-01 12:34:05 | workinprogress | Conf:0.78 | Action:reduce_speed | Speed:20
2026-04-01 12:34:06 | workinprogress | Conf:0.8 | Action:reduce_speed | Speed:20
2026-04-01 12:34:07 | workinprogress | Conf:0.8 | Action:reduce_speed | Speed:20
2026-04-01 12:34:08 | workinprogress | Conf:0.73 | Action:reduce_speed | Speed:20
2026-04-01 12:34:10 | workinprogress | Conf:0.73 | Action:reduce_speed | Speed:20
2026-04-01 12:34:12 | workinprogress | Conf:0.73 | Action:reduce_speed | Speed:20
2026-04-01 12:34:13 | workinprogress | Conf:0.71 | Action:reduce_speed | Speed:20
2026-04-01 12:34:40 | workinprogress | Conf:0.77 | Action:reduce_speed | Speed:20
2026-04-01 12:34:41 | speedlimit | Conf:0.79 | Action:set_speed | Speed:30
2026-04-01 12:34:42 | speedlimit | Conf:0.89 | Action:set_speed | Speed:30
2026-04-01 12:34:43 | speedlimit | Conf:0.88 | Action:set_speed | Speed:30
2026-04-01 12:34:44 | speedlimit | Conf:0.88 | Action:set_speed | Speed:30
2026-04-01 12:35:00 | speedlimit | Conf:0.83 | Action:set_speed | Speed:30
2026-04-01 12:35:01 | speedlimit | Conf:0.76 | Action:set_speed | Speed:30
2026-04-01 12:35:02 | speedlimit | Conf:0.81 | Action:set_speed | Speed:30
2026-04-01 12:35:03 | speedlimit | Conf:0.77 | Action:set_speed | Speed:30
2026-04-01 12:35:04 | speedlimit | Conf:0.79 | Action:set_speed | Speed:30
2026-04-01 12:35:05 | speedlimit | Conf:0.78 | Action:set_speed | Speed:30
2026-04-01 12:35:06 | speedlimit | Conf:0.81 | Action:set_speed | Speed:30
2026-04-01 12:35:07 | speedlimit | Conf:0.82 | Action:set_speed | Speed:30
2026-04-01 12:35:08 | speedlimit | Conf:0.83 | Action:set_speed | Speed:30
2026-04-01 12:35:09 | speedlimit | Conf:0.8 | Action:set_speed | Speed:30
2026-04-01 12:35:13 | speedlimit | Conf:0.79 | Action:set_speed | Speed:30
2026-04-01 12:35:15 | speedlimit | Conf:0.71 | Action:set_speed | Speed:30
2026-04-01 12:35:20 | slowdown | Conf:0.76 | Action:notify_only | Speed:None
2026-04-01 12:35:21 | slowdown | Conf:0.72 | Action:notify_only | Speed:None
2026-04-01 12:35:22 | slowdown | Conf:0.7 | Action:notify_only | Speed:None
2026-04-01 12:35:24 | slowdown | Conf:0.7 | Action:notify_only | Speed:None
2026-04-01 12:35:26 | slowdown | Conf:0.73 | Action:notify_only | Speed:None
2026-04-01 12:35:28 | slowdown | Conf:0.75 | Action:notify_only | Speed:None
2026-04-01 12:35:29 | slowdown | Conf:0.72 | Action:notify_only | Speed:None
2026-04-01 12:35:30 | slowdown | Conf:0.7 | Action:notify_only | Speed:None
2026-04-01 12:35:31 | slowdown | Conf:0.73 | Action:notify_only | Speed:None
2026-04-01 12:35:34 | slowdown | Conf:0.73 | Action:notify_only | Speed:None
2026-04-01 12:35:35 | slowdown | Conf:0.72 | Action:notify_only | Speed:None
2026-04-01 12:35:37 | slowdown | Conf:0.71 | Action:notify_only | Speed:None
2026-04-01 12:35:44 | slowdown | Conf:0.75 | Action:notify_only | Speed:None
2026-04-01 12:35:45 | workinprogress | Conf:0.76 | Action:reduce_speed | Speed:20
2026-04-01 12:35:46 | workinprogress | Conf:0.75 | Action:reduce_speed | Speed:20
2026-04-01 12:35:48 | workinprogress | Conf:0.7 | Action:reduce_speed | Speed:20
2026-04-01 12:35:50 | workinprogress | Conf:0.73 | Action:reduce_speed | Speed:20
2026-04-01 12:35:51 | workinprogress | Conf:0.71 | Action:reduce_speed | Speed:20
2026-04-01 12:35:52 | workinprogress | Conf:0.73 | Action:reduce_speed | Speed:20
2026-04-01 12:35:55 | workinprogress | Conf:0.71 | Action:reduce_speed | Speed:20
2026-04-01 12:35:56 | workinprogress | Conf:0.81 | Action:reduce_speed | Speed:20
2026-04-01 12:35:58 | workinprogress | Conf:0.79 | Action:reduce_speed | Speed:20
2026-04-01 12:35:59 | workinprogress | Conf:0.79 | Action:reduce_speed | Speed:20
2026-04-01 12:36:00 | workinprogress | Conf:0.79 | Action:reduce_speed | Speed:20
2026-04-01 12:36:01 | workinprogress | Conf:0.87 | Action:reduce_speed | Speed:20
2026-04-01 12:36:02 | workinprogress | Conf:0.86 | Action:reduce_speed | Speed:20
2026-04-01 12:36:03 | workinprogress | Conf:0.83 | Action:reduce_speed | Speed:20
2026-04-01 12:36:05 | workinprogress | Conf:0.87 | Action:reduce_speed | Speed:20
2026-04-01 12:36:06 | workinprogress | Conf:0.89 | Action:reduce_speed | Speed:20
2026-04-01 12:36:07 | workinprogress | Conf:0.84 | Action:reduce_speed | Speed:20
2026-04-01 12:36:08 | workinprogress | Conf:0.85 | Action:reduce_speed | Speed:20
2026-04-01 12:36:09 | workinprogress | Conf:0.85 | Action:reduce_speed | Speed:20
2026-04-01 12:36:10 | workinprogress | Conf:0.86 | Action:reduce_speed | Speed:20
2026-04-01 12:36:11 | workinprogress | Conf:0.86 | Action:reduce_speed | Speed:20
