epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,2835.36,1.29072,0.66544,1.2371,0.99859,0.99989,0.995,0.67918,1.24717,0.48236,1.15748,0.00093343,0.00093343,0.00093343
79,2875.53,1.33172,0.64979,1.26991,0.99481,0.99886,0.99488,0.68044,1.24651,0.49092,1.14703,0.000929319,0.000929319,0.000929319
80,2912.22,1.34254,0.6736,1.27645,0.99518,0.99652,0.995,0.67862,1.24207,0.5148,1.15258,0.000925208,0.000925208,0.000925208
81,2954.64,1.26632,0.66341,1.22964,0.99624,0.998,0.995,0.70055,1.17709,0.47745,1.13825,0.000921096,0.000921096,0.000921096
82,2989.2,1.39628,0.66948,1.31302,0.99533,1,0.995,0.68759,1.23003,0.50937,1.16769,0.000916985,0.000916985,0.000916985
83,3024.37,1.3402,0.66985,1.28163,0.99774,1,0.995,0.67351,1.25775,0.48919,1.19666,0.000912874,0.000912874,0.000912874
84,3067.6,1.353,0.69194,1.27409,0.99677,0.99937,0.995,0.68639,1.22209,0.49891,1.15423,0.000908762,0.000908762,0.000908762
85,3107.86,1.26558,0.64138,1.24142,0.9944,0.99995,0.995,0.6953,1.18805,0.48141,1.16102,0.000904651,0.000904651,0.000904651
86,3143.79,1.30296,0.67825,1.26306,0.99611,1,0.995,0.69648,1.19024,0.47732,1.14372,0.00090054,0.00090054,0.00090054
87,3181.62,1.32874,0.6939,1.2803,0.99466,0.99671,0.99283,0.68613,1.1906,0.48812,1.15356,0.000896429,0.000896429,0.000896429
88,3220.64,1.30362,0.67409,1.26254,0.99913,0.99995,0.995,0.69415,1.17859,0.4644,1.13168,0.000892317,0.000892317,0.000892317
89,3260.63,1.27467,0.6231,1.25767,0.99799,1,0.995,0.70184,1.17315,0.47353,1.13686,0.000888206,0.000888206,0.000888206
90,3300.84,1.28803,0.63682,1.26919,0.99583,1,0.99495,0.69401,1.16699,0.46931,1.12623,0.000884095,0.000884095,0.000884095
91,3339.34,1.24384,0.63645,1.22971,0.9977,1,0.995,0.69713,1.14966,0.46786,1.12671,0.000879983,0.000879983,0.000879983
92,3374.58,1.27818,0.61458,1.2455,0.99754,1,0.995,0.6851,1.16599,0.4737,1.12072,0.000875872,0.000875872,0.000875872
93,3415.59,1.29927,0.62257,1.25391,0.99867,1,0.995,0.70158,1.1991,0.47926,1.14436,0.000871761,0.000871761,0.000871761
94,3451.43,1.27783,0.65223,1.24622,0.99708,1,0.995,0.70128,1.17931,0.48516,1.13891,0.00086765,0.00086765,0.00086765
95,3489.62,1.25321,0.64796,1.23748,0.99542,0.99671,0.99163,0.70486,1.17032,0.47264,1.13507,0.000863538,0.000863538,0.000863538
96,3524.55,1.26592,0.63776,1.25694,0.99822,1,0.995,0.71069,1.13951,0.46676,1.12719,0.000859427,0.000859427,0.000859427
97,3559.98,1.27648,0.61956,1.23462,0.99819,1,0.995,0.70435,1.13959,0.45953,1.12059,0.000855316,0.000855316,0.000855316
98,3597.49,1.27983,0.65679,1.22396,0.99813,0.99896,0.995,0.69712,1.15879,0.46088,1.12737,0.000851204,0.000851204,0.000851204
99,3632.35,1.279,0.60976,1.25035,0.99833,1,0.995,0.70677,1.14136,0.45952,1.11507,0.000847093,0.000847093,0.000847093
100,3670.79,1.26142,0.63469,1.22402,0.99527,0.99784,0.9937,0.71262,1.12267,0.46174,1.11481,0.000842982,0.000842982,0.000842982
101,3708.21,1.25523,0.65603,1.21506,0.99695,1,0.995,0.70834,1.14373,0.46402,1.11875,0.00083887,0.00083887,0.00083887
102,3742.53,1.26302,0.66339,1.23391,0.99823,1,0.995,0.7096,1.12697,0.45733,1.11296,0.000834759,0.000834759,0.000834759
103,3777.79,1.27953,0.63457,1.24165,0.99836,1,0.995,0.71038,1.13108,0.45533,1.11643,0.000830648,0.000830648,0.000830648
104,3815.59,1.29745,0.66387,1.24729,0.99821,1,0.995,0.6967,1.17825,0.46252,1.12003,0.000826537,0.000826537,0.000826537
105,3852.44,1.22806,0.62199,1.20451,0.99813,1,0.995,0.70421,1.14531,0.45357,1.12704,0.000822425,0.000822425,0.000822425
106,3891.25,1.23751,0.59984,1.2248,0.99828,1,0.995,0.70757,1.1238,0.4382,1.09592,0.000818314,0.000818314,0.000818314
107,3926.42,1.29203,0.62768,1.22648,0.99839,1,0.995,0.73165,1.09158,0.4375,1.08721,0.000814203,0.000814203,0.000814203
108,3958.09,1.21308,0.61527,1.20418,0.99844,1,0.995,0.72197,1.09533,0.43806,1.08789,0.000810091,0.000810091,0.000810091
109,3989.14,1.28707,0.6391,1.23499,0.99818,1,0.995,0.72801,1.0914,0.43132,1.08694,0.00080598,0.00080598,0.00080598
110,4024.98,1.26935,0.61712,1.24961,0.99405,1,0.99468,0.71193,1.12199,0.45145,1.10222,0.000801869,0.000801869,0.000801869
111,4060.04,1.23892,0.63455,1.19576,0.99766,1,0.995,0.72702,1.09599,0.43444,1.08704,0.000797757,0.000797757,0.000797757
112,4097.46,1.22017,0.59408,1.1994,0.99817,1,0.995,0.73556,1.0711,0.42901,1.08429,0.000793646,0.000793646,0.000793646
113,4134.68,1.21716,0.59467,1.20219,0.99874,1,0.995,0.72152,1.13156,0.43556,1.09636,0.000789535,0.000789535,0.000789535
114,4175.16,1.19201,0.57473,1.20266,0.99555,1,0.99412,0.72708,1.0775,0.42842,1.09133,0.000785424,0.000785424,0.000785424
115,4216.64,1.19287,0.61586,1.19638,0.99396,1,0.995,0.71051,1.13295,0.44517,1.09492,0.000781312,0.000781312,0.000781312
116,4257.37,1.21628,0.61525,1.20774,0.995,1,0.995,0.7116,1.11918,0.42976,1.09514,0.000777201,0.000777201,0.000777201
117,4291.37,1.22891,0.59283,1.20296,0.9984,1,0.995,0.72691,1.07297,0.42427,1.07979,0.00077309,0.00077309,0.00077309
118,4319.46,1.20079,0.57402,1.20752,0.99878,1,0.995,0.73436,1.06003,0.41733,1.08168,0.000768978,0.000768978,0.000768978
119,4352.17,1.1741,0.58094,1.19338,0.99864,1,0.995,0.72312,1.09021,0.43294,1.07855,0.000764867,0.000764867,0.000764867
120,4381.51,1.183,0.56615,1.17635,0.99863,1,0.995,0.7232,1.09441,0.41962,1.07717,0.000760756,0.000760756,0.000760756
121,4408.2,1.27808,0.61243,1.21956,0.99888,1,0.995,0.72506,1.09184,0.44912,1.09347,0.000756645,0.000756645,0.000756645
122,4434.36,1.27405,0.6121,1.2556,0.99875,1,0.995,0.73368,1.07415,0.43366,1.09417,0.000752533,0.000752533,0.000752533
123,4462.21,1.21181,0.58373,1.19379,0.9989,1,0.995,0.73097,1.06562,0.41667,1.07654,0.000748422,0.000748422,0.000748422
124,4493.53,1.21111,0.5681,1.19573,0.99892,1,0.995,0.72797,1.08055,0.41957,1.07834,0.000744311,0.000744311,0.000744311
125,4526.17,1.18969,0.59566,1.17919,0.99861,1,0.995,0.73035,1.07989,0.42333,1.07838,0.000740199,0.000740199,0.000740199
126,4552.89,1.20181,0.59059,1.22718,0.99758,1,0.995,0.74133,1.06954,0.41772,1.07529,0.000736088,0.000736088,0.000736088
127,4579.59,1.21364,0.60438,1.2053,0.99775,1,0.995,0.73318,1.07657,0.41695,1.07773,0.000731977,0.000731977,0.000731977
128,4609.3,1.16355,0.58611,1.18989,0.99883,1,0.995,0.73445,1.08059,0.41729,1.07871,0.000727865,0.000727865,0.000727865
129,4637.34,1.24923,0.66316,1.23134,0.99839,0.99992,0.995,0.72236,1.11408,0.42659,1.09461,0.000723754,0.000723754,0.000723754
130,4663.92,1.23951,0.59692,1.22109,0.99813,1,0.995,0.72819,1.06636,0.41458,1.07176,0.000719643,0.000719643,0.000719643
131,4696.77,1.26119,0.60817,1.23135,0.99232,0.9975,0.995,0.72885,1.06946,0.42451,1.08089,0.000715532,0.000715532,0.000715532
132,4725.73,1.20355,0.62251,1.20421,0.99685,1,0.995,0.72641,1.05684,0.41757,1.07115,0.00071142,0.00071142,0.00071142
133,4759.68,1.13962,0.57661,1.17598,0.99901,0.9998,0.995,0.73351,1.05582,0.42104,1.07195,0.000707309,0.000707309,0.000707309
134,4794.37,1.23355,0.62123,1.23428,0.99858,1,0.995,0.72039,1.07867,0.42824,1.0756,0.000703198,0.000703198,0.000703198
135,4825.97,1.17486,0.58749,1.17097,0.99756,1,0.995,0.72589,1.06732,0.42485,1.07568,0.000699086,0.000699086,0.000699086
136,4853.77,1.19426,0.59621,1.17392,0.99475,0.9997,0.995,0.73263,1.05349,0.4187,1.06469,0.000694975,0.000694975,0.000694975
137,4887.97,1.20057,0.58469,1.18186,0.98596,0.99912,0.995,0.74096,1.03128,0.41591,1.05452,0.000690864,0.000690864,0.000690864
138,4919.53,1.1814,0.60385,1.17951,0.99479,0.99988,0.995,0.75086,1.01425,0.40101,1.04404,0.000686752,0.000686752,0.000686752
139,4953.59,1.17772,0.56792,1.18271,0.99795,1,0.995,0.75329,1.01558,0.41765,1.04342,0.000682641,0.000682641,0.000682641
140,4984.12,1.15848,0.58057,1.16141,0.99858,1,0.995,0.75501,1.0084,0.41121,1.04822,0.00067853,0.00067853,0.00067853
141,5020.59,1.24304,0.62072,1.21555,0.99897,1,0.995,0.75262,1.01695,0.41262,1.04696,0.000674419,0.000674419,0.000674419
142,5054.42,1.18133,0.57733,1.19882,0.99522,1,0.99484,0.75754,0.98905,0.40148,1.03907,0.000670307,0.000670307,0.000670307
143,5088.92,1.1484,0.56899,1.16558,0.99793,1,0.995,0.74643,1.03532,0.41118,1.04564,0.000666196,0.000666196,0.000666196
144,5124.97,1.14449,0.56592,1.17542,0.99848,1,0.995,0.74242,1.01952,0.40563,1.04368,0.000662085,0.000662085,0.000662085
145,5159.41,1.14231,0.5653,1.16763,0.99903,1,0.995,0.75277,0.99709,0.40627,1.04457,0.000657973,0.000657973,0.000657973
146,5191.03,1.19023,0.57872,1.21253,0.99699,0.99659,0.995,0.7524,0.99675,0.41056,1.04221,0.000653862,0.000653862,0.000653862
147,5222.43,1.18756,0.58275,1.21304,0.99759,0.9959,0.99496,0.75531,0.98676,0.40182,1.0358,0.000649751,0.000649751,0.000649751
148,5254.36,1.1364,0.57715,1.19265,0.99212,0.99929,0.99496,0.75157,0.98999,0.41095,1.04472,0.00064564,0.00064564,0.00064564
149,5290.18,1.14066,0.55076,1.18528,0.9974,0.99647,0.995,0.75833,0.9844,0.40663,1.0342,0.000641528,0.000641528,0.000641528
150,5326.17,1.14777,0.57962,1.1507,0.99806,0.99909,0.995,0.73976,1.0383,0.41059,1.04903,0.000637417,0.000637417,0.000637417
151,5360.78,1.15512,0.54891,1.18451,0.99879,1,0.995,0.74171,1.02752,0.40208,1.04552,0.000633306,0.000633306,0.000633306
152,5395.27,1.15841,0.58674,1.18637,0.99822,1,0.995,0.75592,0.9857,0.39621,1.03539,0.000629194,0.000629194,0.000629194
153,5428.76,1.16249,0.58867,1.19186,0.99898,1,0.995,0.74855,1.01177,0.38609,1.03923,0.000625083,0.000625083,0.000625083
154,5460.1,1.20412,0.60248,1.19876,0.99738,1,0.995,0.751,1.0045,0.39084,1.04138,0.000620972,0.000620972,0.000620972
155,5495.49,1.17282,0.5822,1.18253,0.99727,1,0.995,0.75169,0.99575,0.39668,1.03681,0.00061686,0.00061686,0.00061686
156,5527.57,1.15124,0.58782,1.17875,0.99877,1,0.995,0.75104,0.99703,0.39097,1.03661,0.000612749,0.000612749,0.000612749
157,5562.13,1.13017,0.56268,1.16124,0.99646,0.99939,0.995,0.75582,0.98913,0.39536,1.03391,0.000608638,0.000608638,0.000608638
158,5591.92,1.16994,0.5894,1.19929,0.99685,0.99946,0.995,0.7575,0.98948,0.39362,1.03074,0.000604527,0.000604527,0.000604527
159,5626.74,1.1953,0.59897,1.20125,0.9989,1,0.995,0.76258,0.96509,0.38925,1.02832,0.000600415,0.000600415,0.000600415
160,5663.54,1.20452,0.58685,1.18875,0.9988,1,0.995,0.75446,0.97264,0.39402,1.02348,0.000596304,0.000596304,0.000596304
161,5694.69,1.12306,0.55226,1.14402,0.99848,1,0.995,0.75982,0.96031,0.38097,1.02405,0.000592193,0.000592193,0.000592193
162,5729.96,1.14945,0.55545,1.16372,0.99881,1,0.995,0.75022,0.99423,0.39834,1.03353,0.000588081,0.000588081,0.000588081
163,5766.52,1.16987,0.5783,1.18461,0.9985,1,0.995,0.76717,0.95592,0.37696,1.01998,0.00058397,0.00058397,0.00058397
164,5799.58,1.14745,0.57582,1.17103,0.99747,1,0.995,0.76493,0.9432,0.38292,1.01726,0.000579859,0.000579859,0.000579859
165,5834.91,1.14872,0.55711,1.17818,0.99911,1,0.995,0.7636,0.98743,0.38612,1.02291,0.000575748,0.000575748,0.000575748
166,5865.45,1.13071,0.57334,1.16113,0.99835,1,0.995,0.76774,0.96213,0.39537,1.02076,0.000571636,0.000571636,0.000571636
167,5894.82,1.14241,0.55858,1.17844,0.99836,1,0.995,0.76278,0.95811,0.37715,1.01611,0.000567525,0.000567525,0.000567525
168,5926.9,1.11786,0.56494,1.16479,0.99856,1,0.995,0.77186,0.94575,0.37466,1.01068,0.000563414,0.000563414,0.000563414
169,5959.7,1.08499,0.56072,1.11952,0.99909,1,0.995,0.77734,0.92767,0.38532,1.01137,0.000559302,0.000559302,0.000559302
170,5991.27,1.11877,0.53561,1.1578,0.99759,1,0.995,0.76409,0.96119,0.37148,1.01949,0.000555191,0.000555191,0.000555191
